"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
SCL,"7/10/2024 4 a.m. PDT",868,880,145,-723
SCL,"7/10/2024 5 a.m. PDT",867,881,274,-593
SCL,"7/10/2024 6 a.m. PDT",892,905,313,-579
SCL,"7/10/2024 7 a.m. PDT",972,970,658,-314
SCL,"7/10/2024 8 a.m. PDT",1053,1046,689,-364
SCL,"7/10/2024 9 a.m. PDT",1106,1098,672,-434
SCL,"7/10/2024 10 a.m. PDT",1137,1137,638,-499
SCL,"7/10/2024 11 a.m. PDT",1168,1171,644,-524
SCL,"7/10/2024 12 p.m. PDT",1194,1202,670,-524
SCL,"7/10/2024 1 p.m. PDT",1227,1233,677,-550
SCL,"7/10/2024 2 p.m. PDT",1255,1259,677,-578
SCL,"7/10/2024 3 p.m. PDT",1272,1279,688,-584
SCL,"7/10/2024 4 p.m. PDT",1291,1301,736,-555
SCL,"7/10/2024 5 p.m. PDT",1296,1315,712,-584
SCL,"7/10/2024 6 p.m. PDT",1305,1320,983,-322
SCL,"7/10/2024 7 p.m. PDT",1283,1278,955,-328
SCL,"7/10/2024 8 p.m. PDT",1251,1235,1010,-241
SCL,"7/10/2024 9 p.m. PDT",1207,1194,869,-338
SCL,"7/10/2024 10 p.m. PDT",1162,1170,808,-354
SCL,"7/10/2024 11 p.m. PDT",1082,1112,397,-685
SCL,"7/11/2024 12 a.m. PDT",989,1022,344,-645
SCL,"7/11/2024 1 a.m. PDT",901,929,245,-656
SCL,"7/11/2024 2 a.m. PDT",847,867,243,-604
SCL,"7/11/2024 3 a.m. PDT",811,832,289,-522
SCL,"7/11/2024 4 a.m. PDT",794,815,253,-541
SCL,"7/11/2024 5 a.m. PDT",808,821,244,-564
SCL,"7/11/2024 6 a.m. PDT",831,851,246,-585
SCL,"7/11/2024 7 a.m. PDT",910,923,574,-336
SCL,"7/11/2024 8 a.m. PDT",991,999,598,-393
SCL,"7/11/2024 9 a.m. PDT",1049,1048,598,-451
SCL,"7/11/2024 10 a.m. PDT",1074,1084,699,-375
SCL,"7/11/2024 11 a.m. PDT",1105,1116,701,-404
