BA Code,Timestamp (Hour Ending),Demand (MWh)
SCL,1/18/2024 12 p.m. PST,1612.0
SCL,1/18/2024 1 p.m. PST,1618.0
SCL,1/18/2024 2 p.m. PST,1596.0
SCL,1/18/2024 3 p.m. PST,1587.0
SCL,1/18/2024 4 p.m. PST,1584.0
SCL,1/18/2024 5 p.m. PST,1615.0
SCL,1/18/2024 6 p.m. PST,1654.0
SCL,1/18/2024 7 p.m. PST,1623.0
SCL,1/18/2024 8 p.m. PST,1574.0
SCL,1/18/2024 9 p.m. PST,1521.0
SCL,1/18/2024 10 p.m. PST,1451.0
SCL,1/18/2024 11 p.m. PST,1348.0
SCL,1/19/2024 12 a.m. PST,1258.0
SCL,1/19/2024 1 a.m. PST,1189.0
SCL,1/19/2024 2 a.m. PST,1147.0
SCL,1/19/2024 3 a.m. PST,1132.0
SCL,1/19/2024 4 a.m. PST,1153.0
SCL,1/19/2024 5 a.m. PST,1194.0
SCL,1/19/2024 6 a.m. PST,1298.0
SCL,1/19/2024 7 a.m. PST,1442.0
SCL,1/19/2024 8 a.m. PST,1570.0
SCL,1/19/2024 9 a.m. PST,1597.0
SCL,1/19/2024 10 a.m. PST,1593.0
SCL,1/19/2024 11 a.m. PST,1565.0
SCL,1/19/2024 12 p.m. PST,1554.0
SCL,1/19/2024 1 p.m. PST,1527.0
SCL,1/19/2024 2 p.m. PST,1508.0
SCL,1/19/2024 3 p.m. PST,1499.0
SCL,1/19/2024 4 p.m. PST,1462.0
SCL,1/19/2024 5 p.m. PST,1476.0
SCL,1/19/2024 6 p.m. PST,1523.0
SCL,1/19/2024 7 p.m. PST,1506.0
SCL,1/19/2024 8 p.m. PST,1466.0
SCL,1/19/2024 9 p.m. PST,1420.0
SCL,1/19/2024 10 p.m. PST,1374.0
SCL,1/19/2024 11 p.m. PST,1305.0
SCL,1/20/2024 12 a.m. PST,1110.0
SCL,1/20/2024 1 a.m. PST,1171.0
SCL,1/20/2024 2 a.m. PST,1134.0
SCL,1/20/2024 3 a.m. PST,1108.0
SCL,1/20/2024 4 a.m. PST,1104.0
SCL,1/20/2024 5 a.m. PST,1117.0
SCL,1/20/2024 6 a.m. PST,1159.0
SCL,1/20/2024 7 a.m. PST,1214.0
SCL,1/20/2024 8 a.m. PST,1288.0
SCL,1/20/2024 9 a.m. PST,1348.0
SCL,1/20/2024 10 a.m. PST,1375.0
SCL,1/20/2024 11 a.m. PST,1358.0
SCL,1/20/2024 12 p.m. PST,1356.0
SCL,1/20/2024 1 p.m. PST,1353.0
SCL,1/20/2024 2 p.m. PST,1292.0
SCL,1/20/2024 3 p.m. PST,1272.0
SCL,1/20/2024 4 p.m. PST,1277.0
SCL,1/20/2024 5 p.m. PST,1328.0
SCL,1/20/2024 6 p.m. PST,1378.0
SCL,1/20/2024 7 p.m. PST,1384.0
SCL,1/20/2024 8 p.m. PST,1356.0
SCL,1/20/2024 9 p.m. PST,1323.0
SCL,1/20/2024 10 p.m. PST,1272.0
SCL,1/20/2024 11 p.m. PST,1216.0
SCL,1/21/2024 12 a.m. PST,1153.0
SCL,1/21/2024 1 a.m. PST,1117.0
SCL,1/21/2024 2 a.m. PST,1076.0
SCL,1/21/2024 3 a.m. PST,1044.0
SCL,1/21/2024 4 a.m. PST,990.0
SCL,1/21/2024 5 a.m. PST,999.0
SCL,1/21/2024 6 a.m. PST,1053.0
SCL,1/21/2024 7 a.m. PST,1097.0
